drinker,bar,times_a_week
Joshua,"Zum Heidekuppel",4
Joshua,"Tijol",3
Joshua,"Leons italienisches Restaurant",3
Ben,"Pfeffer & Salz",4
Ben,"Ratsstube",4
Ben,"Altes Sudhaus",1
Nicole,"Da Gigi",3
Nicole,"La Terrazza",4
Nicole,"Papanova",3
Jonathan,"IN+ART INos+ARTos",2
Jonathan,"Pizzeria Avanti",4
Jonathan,"Starbucks",3
Timothy,"Mogks Bierstubb",3
Timothy,"Zur Ziegelhuette",4
Timothy,"Ratsstuben Burgerhaus",4
Timothy,"Coffee Fellows",4
Sean,"Dynastie Chinese Fastfood",3
Sean,"My Coffee Backshop",3
Jamie,"Grand Cru",1
Jamie,"Enchilada Kassel",1
Brandon,"Asia Thai Imbiss am Zoo",3
Brandon,"Restaurant Sonono",3
Brandon,"Stadt Berlin",2
Brandon,"Lieferservice & Doneria la Cosa Nostra",4
Rebecca,"Gosch Fisch-Bistro",3
Rebecca,"Pizzeria Avanti",3
Samantha,"Grand Cru",2
Samantha,"Grohe",3
Samantha,"Donerhaus Dest",4
Dan,"Dschingis Khan Au Garden",4
Dan,"Dynastie Chinese Fastfood",2
Dan,"Ratsstube",3
Dan,"Gasthof zum Ulmenstein, Harald Trapp",3
Dan,"Altes Sudhaus",1
Amy,"Spektrum",3
Amy,"Talk of the Town",4
Amy,"Gaststatte Krackhof",3
Stacey,"Gaststatte Ross",4
Stephen,"Pizzeria Forum Galati",3
Stephen,"Donerhaus Dest",3
Stephen,"Late Night Pizzeria",4
Kenneth,"Pizzeria Euro Doner",3
Kenneth,"Wollbacher Tor",4
Steven,"Bella Mia",4
Destiny,"El-Rayyan",4
Destiny,"Zur frischen Quelle",4
Destiny,"Godenhouse Chinarestaurant",1
Destiny,"Zur Platane",2
Destiny,"Berghotel Hexentanzplatz",4
Dawn,"IN+ART INos+ARTos",4
Dawn,"Grohe",3
Dawn,"Zum Buchhugel",4
Katie,"Burgerstuben",4
Katie,"Gosch Fisch-Bistro",4
Katie,"Gutsschanke Schloss Johannisberg",2
Katie,"Eiscafe Rialto",3
Katie,"Muckenwirt",2
Felicia,"Daga",4
Felicia,"Burgklause",3
Felicia,"Rottger",3
Dustin,"Restaurant Hotel Bessunger Forst",4
Dustin,"Schlemmer Grill",4
Dustin,"Starbucks",2
Dustin,"Land & Leute",3
Robert,"Zum Bembelsche",3
Corey,"Melo",3
Corey,"Restaurant Memory",3
Corey,"Yang-Ji",3
Lindsay,"Tajinerie",3
Lindsay,"Alte Liebe",3
Lindsay,"Lieferservice & Doneria la Cosa Nostra",4
Linda,"Artemis Palace",3
Linda,"Gruner Baum",4
Anthony,"Gasthaus Sonne",4
Anthony,"Weingut Diefenhard",4
Joseph,"Sonne Inh. Leubecher",3
Joseph,"Inspektorenhaus",3
Joseph,"Tor zum Rennsteig",2
Joseph,"Ristorante Il Gan Localino",3
Joseph,"Pizzeria Party",3
Allen,"Grunsels Bornchen",4
Allen,"GSV Gundernhausen Helga Kaiser",3
Allen,"Alte Liebe",2
Allen,"Es Bembelsche, Strausswirtschaft Dey",2
Lisa,"Schlossterasssen",4
Lisa,"Ratsstuben Burgerhaus",2
Lisa,"Pizzeria Euro Doner",4
