drinker,beer
Joshua,"Odell IPA"
Joshua,"Okocim Porter"
Joshua,"Leute Bok Bier"
Joshua,"Lump of Coal Dark Holiday Stout"
Ben,"Pendle Witches Brew"
Ben,"Full Moon Winter Ale"
Ben,"WPA (Wheat Pale Ale)"
Ben,"Irish Red"
Nicole,"Oatmeal Stout"
Nicole,"Petrus Dubbel Bruin Ale"
Jonathan,"Canaster Winter Scotch"
Jonathan,"La Folie Falling Rock"
Jonathan,"Duke IPA"
Jonathan,"Northern Light Lager"
Timothy,"Full Moon Winter Ale"
Timothy,"Sharptail Pale Ale"
Sean,"Whitetail Wheat"
Jamie,"Oatmeal Stout"
Jamie,"Saison Imperiale"
Jamie,"Cold Hop"
Jamie,"Triple Exultation Old Ale"
Brandon,"Harvest Ale 2002"
Brandon,"Buzzsaw Brown"
Rebecca,"Geist Bock"
Rebecca,"Beer Geek Breakfast"
Rebecca,"Pabst Blue Ribbon"
Samantha,"Triple Exultation Old Ale"
Samantha,"Morocco Ale"
Samantha,"Petrus Speciale"
Dan,"Calabaza Blanca"
Dan,"Christmas Ale 2007"
Amy,"Guinness"
Stacey,"Christmas Ale 2007"
Stacey,"Adriaan"
Stacey,"Winter"
Stacey,"Morocco Ale"
Stephen,"Morocco Ale"
Stephen,"Winter Ale"
Stephen,"Equinox Dark Belgian Winter"
Stephen,"Flemish Primitive Wild Ale (Spoon Whacker)"
Stephen,"Warm Welcome Nut Browned Ale"
Kenneth,"Fourteen"
Kenneth,"Yeti Special Export"
Kenneth,"Duke IPA"
Kenneth,"Festive Ale 2007"
Kenneth,"Porter"
Steven,"Irish Red"
Steven,"Okocim Porter"
Destiny,"Yuengling Lager"
Destiny,"Petrus Oud Bruin"
Dawn,"Bridal Ale 2005"
Dawn,"Odell IPA"
Dawn,"Carnegie Stark-Porter"
Katie,"Oak Aged Ebenezer"
Katie,"White Christmas"
Katie,"Leute Bok Bier"
Felicia,"Certified Organic Porter"
Felicia,"Maracaibo Especial"
Felicia,"Biere de Mars"
Felicia,"Isolation Ale"
Dustin,"Corona"
Dustin,"Morocco Ale"
Robert,"WPA (Wheat Pale Ale)"
Robert,"Danger Ale"
Robert,"Certified Organic India Pale Ale"
Corey,"Adriaan"
Corey,"La Divine Double Blond"
Corey,"Zinnebir"
Corey,"Slaapmutske Triple Nightcap"
Corey,"Coney Island Lager"
Lindsay,"Porter"
Lindsay,"Double India Pale Ale"
Lindsay,"Hitachino Nest Real Ginger Brew"
Lindsay,"Long Leg English Fuggles Hop Ale"
Linda,"Geist Bock"
Linda,"Oktoberfest Weizen"
Linda,"Triple Dipsea Belgian"
Anthony,"Petrus Blond Ale"
Anthony,"Bender Beer"
Joseph,"Hitachino Nest Espresso Stout"
Joseph,"Old Bawdy 2006"
Joseph,"Never Summer Ale"
Allen,"Trumpeter"
Allen,"Yeti Special Export"
Allen,"Oak Aged IPA"
Lisa,"Bigfoot 2002"
Lisa,"Blue Moon"
Lisa,"Steelie Brown Ale"
Lisa,"Fat Belly Amber"
Rachel,"Big Shot Seasonal Ale"
Rachel,"Imperial Stout"
Rachel,"Carnegie Stark-Porter"
Tiffany,"Northern Light Lager"
Tiffany,"La Divine Tripel Amber"
Helen,"Certified Organic Amber Ale"
Helen,"Lump of Coal Dark Holiday Stout"
Helen,"Podge Belgian Imperial Stout"
Helen,"Winter Ale"
David,"Extra Strong Vintage Ale"
David,"Falcon Pale Ale"
David,"Seriously Bad Elf"
Michelle,"Morocco Ale"
Michelle,"Crystal Ale"
Michelle,"Pannepot"
John,"Oak Aged Ebenezer"
John,"Petrus Oud Bruin"
John,"Witkap-Pater Tripel"
John,"Modern Monks Belgian Blonde"
Austin,"Amstel"
Austin,"Espresso Porter"
Austin,"Witkap-Pater Tripel"
Leslie,"Old Bawdy 2006"
Leslie,"Triple Exultation Old Ale"
James,"Blue Moon"
James,"Furious Beer"
James,"Haymaker Extra Pale Ale"
Brandy,"Cocoa Porter"
Brandy,"OSB Premium Ale"
Brandy,"Steel Reserve"
Stephanie,"Cow Palace Scotch Ale 1998"
Stephanie,"Certified Organic Porter"
Stephanie,"Duke IPA"
Alexa,"Dos Equis"
Alexa,"Chocolate Stout"
Alexa,"Oktoberfest Weizen"
Alexa,"Bock"
Savannah,"Warrior IPA"
Savannah,"Petrus Speciale"
Rodney,"Flemish Primitive Wild Ale (Spoon Whacker)"
Rodney,"Flemish Primitive Wild Ale (Pin Head)"
Rodney,"Belgian Wit"
Elizabeth,"Grand Cru"
Elizabeth,"471 Extra ESB"
Elizabeth,"Adriaan"
Elizabeth,"Irish Red"
Angela,"Maracaibo Especial"
Angela,"Icehouse"
Caitlin,"Tanners Jack"
Caitlin,"Brunette Nut Brown Ale"
Tony,"Bender Beer"
Tony,"Zinnebir"
Tony,"La Folie Falling Rock"
Brendan,"Festive Ale 2007"
Brendan,"Petrus Speciale"
Brendan,"Organic Gingerbread Ale"
Brendan,"Podge Belgian Imperial Stout"
Sarah,"Equinox Dark Belgian Winter"
Sarah,"Bourbon Barrel Porter"
Sarah,"Flemish Primitive Wild Ale (Pin Head)"
Rachael,"Chocolate Stout"
Rachael,"Winter"
Rachael,"Petrus Oud Bruin"
Victoria,"Glacier Ale"
Victoria,"Yeti Special Export"
Christina,"Old Boardhead 2006"
Christina,"Cow Palace Scotch Ale 1998"
Kathy,"Modern Monks Belgian Blonde"
Kathy,"Full Sail"
Kathy,"Northern Light Lager"
Adam,"Witkap-Pater Tripel"
Adam,"Bender Beer"
Adam,"Amstel"
Nancy,"Robert the Bruce Scottish Ale"
Nancy,"Oatmeal Stout"
Nancy,"Oktoberfest Weizen"
Nancy,"Equinox Dark Belgian Winter"
Nancy,"Petrus Gouden Tripel Ale"
Susan,"Morocco Ale"
Susan,"Espresso Porter"
Susan,"Eisenbahn South American Pale Ale (S.A.P.A.)"
Kara,"Warm Welcome Nut Browned Ale"
Jeffrey,"American Pale Ale"
Jeffrey,"Robert the Bruce Scottish Ale"
Jeffrey,"Morocco Ale"
Jeffrey,"Irish Red"
Jeffrey,"Podge Belgian Imperial Stout"
Kyle,"Biere de Mars"
Kyle,"Flemish Primitive Wild Ale (Spoon Whacker)"
Kyle,"Morocco Ale"
Carol,"Warrior IPA"
Terry,"Witkap-Pater Tripel"
Terry,"Espresso Porter"
Sandra,"Extra Strong Vintage Ale"
