bar,beer,price
"James Joyce Pub","Oatmeal Stout",3.75
"James Joyce Pub","Guinness",1.75
"James Joyce Pub","Old Guardian Barley Wine 2007",3.25
"James Joyce Pub","Coney Island Lager",3.0
"James Joyce Pub","Equinox Dark Belgian Winter",3.25
"James Joyce Pub","Icehouse",3.0
"Satisfaction","Biere de Mars",3.0
"Satisfaction","Strange Ghost",3.75
"Satisfaction","Goosinator Smoked Doppelbock 2007",2.75
"Down Under Pub","Bigfoot 2003",2.75
"Down Under Pub","Glacier Ale",3.0
"Down Under Pub","Warrior IPA",3.25
"Down Under Pub","Sandbagger Gold",3.0
"The Edge","Oktoberfest Weizen",3.25
"The Edge","Witte",3.25
"The Edge","Petrus Oud Bruin",2.75
"The Edge","Fourteen",2.5
"Talk of the Town","Winter Ale",2.75
"Talk of the Town","Cold Hop",2.25
"Altes Sudhaus","Full Sail",3.5
"Altes Sudhaus","JuJu Ginger",2.75
"Altes Sudhaus","Isolation Ale",3.0
"Altes Sudhaus","Oak Aged Ebenezer",2.75
"Goldener Anker","Obovoid Empirical Stout",3.0
"Goldener Anker","Equinox Dark Belgian Winter",2.75
"Goldener Anker","Hitachino Nest Real Ginger Brew",3.25
"Trattoria la Grappa","Petrus Speciale",2.75
"Trattoria la Grappa","Northern Light Lager",3.25
"Neu Kong Fondue Restaurant","Budweiser",3.5
"Neu Kong Fondue Restaurant","Sandbagger Gold",3.0
"Pizzeria Carlo","Old Stock Ale 2007",2.0
"Pizzeria Carlo","Brunette Nut Brown Ale",3.25
"Pizzeria Carlo","Flemish Primitive Wild Ale (Pin Head)",3.5
"Pizzeria Carlo","Oak Aged Ebenezer",3.25
"Pizzeria Carlo","Steelie Brown Ale",3.5
"Dynastie Chinese Fastfood","Petrus Oud Bruin",2.75
"Dynastie Chinese Fastfood","Calabaza Blanca",3.0
"Dynastie Chinese Fastfood","Lump of Coal Dark Holiday Stout",2.75
"Casanostra","Furious Beer",3.5
"Casanostra","Porter",3.5
"Casanostra","Bock",3.0
"Casanostra","Dark Ale",3.25
"Tor zum Rennsteig","Hitachino Nest Espresso Stout",3.5
"Tor zum Rennsteig","God Jul - Winter Ale",2.5
"Tor zum Rennsteig","Extra Strong Vintage Ale",3.25
"Tor zum Rennsteig","Sandbagger Gold",3.0
"Tor zum Rennsteig","Certified Organic Porter",2.75
"Leons italienisches Restaurant","Oktoberfest Weizen",3.25
"Leons italienisches Restaurant","Bent Nail IPA",2.75
"Leons italienisches Restaurant","Lump of Coal Dark Holiday Stout",3.0
"Wolfgangs","Falcon Pale Ale",3.25
"Wolfgangs","Oak Aged IPA",3.5
"Wolfgangs","Dark Ale",3.25
"Om Shanti","Duke IPA",3.0
"Om Shanti","Pannepot",3.0
"Om Shanti","Old Guardian Barley Wine 2007",3.5
"Om Shanti","Ringwood Brewery Old Thumper Extra Special Ale",2.5
"Il Brigantino da Francesco","Christmas Ale 2007",3.25
"Il Brigantino da Francesco","Furious Beer",2.75
"Il Brigantino da Francesco","Bent Nail IPA",2.5
